1011
498 354
T 349 886
C 439 405
A 448 384
A 445 613
C 411 102
T 295 16
A 212 691
T 985 508
C 734 502
T 353 532
C 276 295
A 885 94
T 306 355
A 896 52
A 14 195
T 473 246
A 723 494
C 535 673
T 424 112
T 252 514
T 515 306
T 58 738
A 469 474
C 972 885
T 411 127
A 5 188
T 50 146
A 487 341
A 455 187
T 266 839
A 337 586
T 266 262
A 525 77
A 261 444
T 686 960
T 643 761
C 592 781
A 611 250
A 19 351
T 416 154
T 747 99
C 229 108
C 965 823
C 331 280
A 354 887
A 704 341
T 655 931
A 1008 73
T 992 91
T 939 143
A 19 346
T 995 855
T 910 788
C 324 750
T 292 341
A 32 704
A 833 220
T 626 104
A 912 315
T 6 501
C 746 314
C 790 112
A 879 697
A 346 551
C 414 240
C 814 382
A 95 919
T 386 667
T 174 523
A 715 81
C 496 451
T 167 364
T 752 421
T 95 183
A 101 392
C 73 196
A 296 709
A 970 308
C 561 799
A 1006 441
A 249 971
A 399 226
T 423 1008
A 556 602
C 582 908
C 402 105
C 1002 685
T 662 595
T 647 509
T 612 645
T 870 383
C 529 367
T 695 229
C 986 292
T 1007 797
C 639 820
C 839 128
C 723 250
T 386 810
C 993 947
A 81 418
T 1006 526
A 655 471
A 978 626
C 402 892
A 549 447
C 251 288
T 565 419
A 308 656
T 258 362
A 544 596
T 103 651
A 102 189
C 847 486
C 918 421
C 706 79
C 492 865
A 118 613
T 403 538
A 666 796
A 530 909
C 641 81
T 720 101
C 644 907
C 419 654
T 94 644
C 481 609
A 227 675
A 782 215
A 733 259
A 632 253
A 853 401
T 195 367
C 606 260
C 897 910
A 271 559
A 869 234
C 27 325
A 833 813
C 375 497
C 42 623
A 302 440
A 303 769
C 272 1007
A 154 895
T 117 253
T 908 225
T 827 959
C 398 947
T 164 313
C 944 957
A 959 408
T 297 32
A 437 93
T 244 225
C 772 348
C 601 541
T 864 268
A 394 690
C 28 950
T 678 614
T 992 735
A 1002 767
T 329 29
T 969 737
C 176 359
T 465 842
T 327 466
A 601 135
C 126 225
T 540 1001
C 990 54
T 970 272
T 912 196
A 176 106
A 352 403
T 317 726
C 88 282
C 837 790
T 36 676
A 66 364
T 437 309
T 131 219
C 628 402
T 653 741
C 968 46
T 9 711
A 571 23
T 999 203
A 364 466
A 789 458
C 362 487
A 706 682
T 79 465
C 825 638
A 897 253
T 735 775
C 775 957
C 970 988
T 854 907
T 462 767
C 819 940
C 843 998
C 172 832
A 972 494
C 685 924
C 326 495
T 84 598
T 559 302
C 803 784
C 563 303
T 1002 488
A 485 754
T 251 98
T 865 797
T 105 526
A 852 381
C 126 698
C 8 420
C 792 839
T 143 599
A 433 213
T 1004 486
T 609 826
C 657 634
T 62 948
C 702 313
C 77 525
A 735 0
T 468 365
A 942 968
C 161 578
C 706 309
A 340 130
T 554 321
T 731 578
T 987 431
A 907 844
C 363 299
T 137 378
T 253 29
C 611 246
C 743 564
T 610 182
T 828 492
A 408 733
A 514 675
C 63 340
T 765 131
C 222 382
T 983 178
T 557 325
T 548 467
C 364 981
A 778 687
A 843 874
T 620 276
C 493 801
C 604 222
T 300 860
T 630 902
C 654 807
T 487 64
T 354 858
A 489 360
C 924 712
C 978 731
A 520 886
A 476 314
A 152 911
A 968 707
C 4 862
T 845 223
T 251 1009
C 560 922
A 788 573
T 916 520
T 381 208
T 316 118
C 700 950
C 824 813
A 923 291
A 460 245
C 622 668
A 687 860
T 688 577
A 905 269
C 317 797
A 441 170
T 691 825
C 582 1004
C 498 276
C 411 303
T 799 981
A 606 454
T 213 708
A 642 901
A 691 318
A 829 437
C 945 395
C 242 660
C 486 406
A 270 776
A 971 933
A 225 254
T 242 432
T 623 196
T 996 150
A 241 421
A 438 331
A 678 49
C 504 278
T 603 49
A 867 85
T 13 596
T 767 216
A 489 63
A 341 890
T 359 647
A 45 799
T 299 275
T 612 507
C 113 894
A 5 164
A 39 689
A 505 485
T 596 290
C 6 570
T 375 21
T 560 773
C 249 202
C 727 126
T 16 71
T 811 920
A 636 132
C 786 750
T 737 205
A 985 424
T 485 676
T 955 130
A 80 104
C 520 487
T 806 534
A 488 336
T 984 267
C 502 324
T 6 63
T 916 840
T 686 785
T 201 457
C 1 561
T 59 446
T 625 749
T 328 754
C 438 527
A 474 185
T 416 15
C 62 436
A 616 441
T 287 74
C 350 659
A 386 330
C 374 381
T 804 698
C 517 864
C 267 636
C 547 397
A 138 295
T 942 615
C 425 404
C 602 511
C 134 769
A 354 316
T 151 338
C 236 70
A 123 407
C 728 346
T 661 659
C 304 86
A 269 904
C 722 333
A 598 915
A 960 746
C 860 703
A 341 336
C 463 664
C 406 944
C 958 30
C 708 710
T 618 754
T 340 570
T 595 513
C 691 107
T 19 447
A 45 955
A 373 207
A 437 280
C 504 241
C 564 554
A 389 384
A 181 128
T 761 510
A 769 271
T 64 430
A 988 557
C 588 281
C 448 118
T 773 928
C 981 127
A 391 568
C 398 343
C 377 116
C 825 347
C 119 581
C 359 872
T 461 240
C 276 530
A 882 947
A 989 639
C 214 363
C 766 925
C 966 763
A 859 825
C 769 624
A 850 38
C 958 400
C 913 343
C 735 225
C 460 616
T 524 289
T 946 815
C 530 114
T 192 866
T 104 299
A 446 497
T 578 578
A 77 795
T 536 934
T 986 308
C 208 870
T 103 586
T 854 761
C 249 40
C 118 163
A 673 983
A 537 940
T 797 104
T 527 984
A 730 2
T 263 80
A 831 347
T 673 839
T 140 382
A 521 988
A 876 377
C 83 746
A 384 305
T 262 468
A 389 953
T 935 762
C 609 108
A 661 58
C 292 941
T 884 382
A 540 902
C 214 709
A 1 388
A 397 183
A 600 601
A 943 56
A 513 767
A 941 426
T 681 282
C 973 695
C 100 290
C 11 285
T 173 171
T 575 557
C 635 328
T 874 1005
T 351 757
A 675 486
T 601 340
T 446 972
T 713 968
T 842 156
C 469 301
A 840 545
C 357 188
C 191 844
T 9 312
C 284 789
A 155 531
C 722 742
A 184 137
T 642 815
A 289 144
C 699 72
C 996 914
T 774 754
C 684 285
A 625 823
T 216 998
T 639 689
A 282 672
T 550 534
T 189 941
C 334 630
C 464 362
A 84 394
A 491 707
T 835 940
C 490 667
T 423 34
C 43 481
T 539 1009
C 14 789
T 394 832
T 1009 197
T 310 415
A 372 430
A 674 739
T 341 742
C 706 90
A 642 531
T 278 997
A 943 352
C 687 359
C 918 842
A 742 293
T 300 25
C 693 236
A 799 384
T 730 781
C 626 770
C 333 1
A 173 197
C 510 17
A 46 447
A 578 827
C 235 248
C 413 115
C 683 548
A 668 686
C 444 947
A 583 773
C 701 298
A 641 403
C 945 453
C 641 675
T 174 702
T 374 645
C 488 636
A 110 114
C 450 949
A 939 63
A 960 10
C 763 842
T 523 953
T 708 752
T 974 992
T 286 59
T 181 35
C 546 335
C 863 649
A 551 184
T 207 262
C 648 838
T 170 748
T 359 180
T 969 157
A 429 225
A 263 550
C 604 29
A 336 954
C 432 668
A 137 97
A 832 634
T 990 442
A 545 25
A 794 452
A 872 663
A 651 266
T 372 543
A 757 149
T 128 927
A 115 970
C 497 365
A 59 333
A 248 958
C 916 372
T 964 95
C 416 113
C 466 886
C 281 664
C 907 892
T 431 812
C 876 505
C 934 167
A 262 839
C 284 561
C 414 261
A 386 97
T 616 663
A 505 310
C 49 228
T 574 575
C 596 111
A 72 369
T 749 67
A 243 233
A 133 211
A 915 280
C 791 674
A 347 697
A 311 361
A 684 744
T 359 242
T 771 383
T 706 596
A 789 544
C 895 260
T 334 765
A 811 886
C 675 507
A 595 355
A 265 99
A 324 600
T 63 7
T 689 121
T 163 121
A 146 58
A 14 191
C 38 311
C 397 1006
T 153 786
A 88 475
T 411 434
A 715 14
T 239 604
A 338 447
T 723 729
T 952 48
A 471 282
T 796 909
A 846 348
A 382 259
A 296 243
A 352 543
C 194 493
T 743 303
C 923 773
C 727 33
A 113 51
C 26 965
T 764 596
C 322 857
T 116 821
C 385 726
A 56 591
A 414 592
A 148 1002
T 337 38
C 377 1000
A 569 189
T 490 221
T 280 963
C 353 21
T 388 94
C 192 166
C 513 52
C 591 1005
A 703 16
A 909 46
A 580 344
C 913 690
A 405 207
T 894 931
A 244 590
T 128 695
A 759 831
T 391 423
C 106 537
C 283 199
T 366 163
A 445 677
C 476 50
T 272 691
T 395 564
A 618 587
C 378 33
T 665 581
C 446 786
C 21 517
C 222 232
A 930 322
T 367 504
A 237 22
A 301 835
C 823 870
T 18 513
T 705 903
T 947 11
C 34 521
C 762 283
T 898 650
T 496 407
A 715 835
T 96 549
C 267 784
T 733 904
A 209 43
A 726 130
A 458 470
A 512 77
A 755 338
T 827 992
A 582 236
A 681 580
A 968 339
T 331 114
A 801 593
C 195 783
T 848 135
C 192 401
C 932 847
A 875 218
C 685 541
T 258 862
T 16 479
C 463 859
C 438 24
A 886 918
A 134 0
T 535 838
A 923 764
C 974 352
C 739 880
C 468 168
C 461 129
A 906 432
A 298 59
C 26 556
T 307 762
C 950 490
T 797 577
C 930 212
A 470 623
A 685 17
C 924 776
A 69 201
C 977 841
C 1001 803
T 132 214
A 327 746
T 739 54
C 123 994
T 272 436
C 513 64
T 454 148
T 537 88
C 877 56
T 899 351
A 459 451
C 870 948
C 576 1003
T 222 876
A 173 9
T 208 911
C 133 429
A 325 604
T 191 210
C 255 272
A 497 355
